Experiment,Batch Size,Epochs,Learning Rate,Base Filters,Training Success,Evaluation Success,MLflow Success,Loss,Combined Loss,Dice,IoU
exp_000,2,10,0.001,32,✓,✓,✓,0.950108528137207,0.7600868344306946,0.08666646480560303,0.0508749783039093
exp_001,2,10,0.002,32,✓,✓,✓,0.9928579926490784,0.7942863702774048,0.08838481456041336,0.050389088690280914
exp_002,2,5,0.001,64,✓,✓,✓,1.3606963157653809,1.0885570049285889,0.05080000311136246,0.026841405779123306
